INSERT INTO heroine (hospital_organization_name, address, city, state, zip_code) VALUES
('Martinez Hospital', '135 Gonzalez Ridges Suite 612', 'Emilyhaven', 'OH', 48201),
('Johnston HealthCare', '48861 Mary Viaduct Apt. 659', 'Jenniferchester', 'PA', 90001),
('Cunningham Hospital', '3449 Peterson Springs Suite 197', 'West Madison', 'OH', 30301),
('Wolfe Medical Center', '79757 Howe Bridge Apt. 479', 'East Michele', 'OH', 30301),
('Kaufman Medical Center', '2843 Anthony Vista Apt. 348', 'South Gina', 'NY', 44101),
('Terry Clinic', '036 Kevin Forks', 'Lake Stephanie', 'PA', 44101),
('Hampton Hospital', '6487 Christopher Crossing Apt. 533', 'Atkinsonland', 'PA', 73301),
('Patton Hospital', '4640 Michael Ford Suite 111', 'Port Alexismouth', 'PA', 10001),
('Lam Hospital', '1476 Shelley Mountain Suite 034', 'Debbiebury', 'NC', 90001),
('Reynolds Clinic', '022 Grace Hills Apt. 318', 'Russochester', 'PA', 33101),
('Mcintyre HealthCare', '760 Bradshaw Corner Apt. 545', 'Robertland', 'OH', 48201),
('Williams HealthCare', '061 Jeffrey Loop', 'South Nicoleland', 'FL', 27501),
('Proctor Clinic', '356 Rodriguez Divide Suite 866', 'Port Kristinaview', 'OH', 10001),
('Harrison HealthCare', '386 Mark Dale', 'East Deborah', 'OH', 19101),
('Knight HealthCare', '42109 Hill Branch Apt. 344', 'Michaelchester', 'NY', 73301),
('Gibson HealthCare', '230 Hoffman Divide Apt. 102', 'Andersonmouth', 'MI', 73301),
('Lane Hospital', '1152 Turner Light', 'Davenportbury', 'IL', 33101),
('Taylor HealthCare', '326 Melinda Stravenue', 'Leslietown', 'NY', 10001),
('Hoover Hospital', '46180 Freeman Place', 'East Makayla', 'IL', 27501),
('Patel Hospital', '400 Alicia Rapid', 'Johnsonview', 'NC', 33101),
('Smith Medical Center', '796 Robert Plain', 'North Kevinhaven', 'NC', 33101),
('Johnson HealthCare', '7614 Robert Dam', 'Leehaven', 'TX', 73301),
